date,home_team,away_team,home_outcome,avg_odd_home_win,avg_odd_draw,avg_odd_away_win,home_ranking,away_ranking,last_home_result,last_away_result
10/09/2016,16,7,0,8.436,3.083,3.373,20,15,0,0
10/09/2016,20,23,0,10.332,3.737,2.141,9,3,0,-1
10/09/2016,26,24,0,8.176,3.318,4.213,7,13,0,-1
12/09/2016,21,8,0,9.459,3.462,2.283,17,11,0,0
16/09/2016,6,13,0,8.587,3.329,3.221,10,8,1,-1
17/09/2016,8,16,2,8.16,3.532,5.385,11,20,1,1
17/09/2016,12,4,2,7.989,3.926,7.033,1,20,-1,-1
17/09/2016,25,26,2,8.691,3.145,2.784,14,7,-1,1
18/09/2016,7,20,2,8.39,3.222,3.791,15,9,1,1
18/09/2016,19,22,2,8.056,3.479,5.165,6,12,0,0
24/09/2016,0,6,2,8.439,3.312,3.049,2,10,-1,0
24/09/2016,2,8,2,9.39,3.492,2.296,16,11,-1,-1
24/09/2016,15,12,2,8.191,3.631,4.933,5,1,1,1
24/09/2016,16,23,0,9.558,3.52,2.254,20,3,-1,1
24/09/2016,20,25,1,8.385,3.172,3.203,9,14,-1,1
24/09/2016,21,7,0,8.871,3.222,2.685,17,15,-1,1
25/09/2016,26,19,0,8.849,3.255,2.707,7,6,0,1
26/09/2016,4,24,2,8.573,3.202,2.685,18,13,1,-1
30/09/2016,8,7,1,7.875,3.61,4.688,11,15,0,-1
01/10/2016,21,25,1,8.472,3.128,3.093,17,14,1,-1
01/10/2016,24,2,1,8.398,3.174,3.207,13,16,-1,0
